Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/deeplabv3plus_int8.tflite
Output: deeplabv3plus_int8_edgetpu.tflite

Operator                       Count      Status

DEPTHWISE_CONV_2D              13         Mapped to Edge TPU
SPACE_TO_BATCH_ND              3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
RESIZE_BILINEAR                1          More than one subgraph is not supported
RESIZE_BILINEAR                1          Operation is otherwise supported, but not mapped due to some unspecified limitation
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
QUANTIZE                       1          Mapped to Edge TPU
MUL                            3          More than one subgraph is not supported
CONV_2D                        4          More than one subgraph is not supported
CONV_2D                        3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
CONV_2D                        29         Mapped to Edge TPU
ADD                            3          More than one subgraph is not supported
ADD                            8          Mapped to Edge TPU
BATCH_TO_SPACE_ND              3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
CONCATENATION                  2          More than one subgraph is not supported
PAD                            3          Mapped to Edge TPU
