Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/unet_mobilenetv2_int8.tflite
Output: unet_mobilenetv2_int8_edgetpu.tflite

Operator                       Count      Status

CONV_2D                        44         Mapped to Edge TPU
RESIZE_BILINEAR                5          Mapped to Edge TPU
DEPTHWISE_CONV_2D              17         Mapped to Edge TPU
PAD                            4          Mapped to Edge TPU
CONCATENATION                  4          Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
ADD                            10         Mapped to Edge TPU
QUANTIZE                       2          Mapped to Edge TPU
